# SPDX-License-Identifier: MIT
# 格式：符号 稳定级别。稳定级别只能是 stable 或 experimental。
gneiss_application_create stable
gneiss_application_destroy stable
gneiss_application_find_action stable
gneiss_application_get_action_state stable
gneiss_application_get_keyboard_state stable
gneiss_application_get_pointer_state stable
gneiss_application_get_world stable
gneiss_application_load_action_map stable
gneiss_application_poll_input stable
gneiss_application_request_exit stable
gneiss_application_run stable
gneiss_application_set_paused stable
gneiss_application_submit_debug_draw_list experimental
gneiss_application_submit_ui_draw_list experimental
gneiss_asset_uri_validate stable
gneiss_camera_type_id experimental
gneiss_game_context_find_action experimental
gneiss_game_context_get_action_state experimental
gneiss_game_context_get_startup_root_entity experimental
gneiss_game_context_get_world experimental
gneiss_game_context_request_exit experimental
gneiss_game_module_validate experimental
gneiss_log_message_validate experimental
gneiss_material_create experimental
gneiss_material_destroy experimental
gneiss_mesh_create experimental
gneiss_mesh_destroy experimental
gneiss_result_message stable
gneiss_scene_instance_capture_subtree experimental
gneiss_scene_instance_create_empty experimental
gneiss_scene_instance_create_mesh_renderer_node experimental
gneiss_scene_instance_create_node experimental
gneiss_scene_instance_destroy_node experimental
gneiss_scene_instance_destroy_subtree experimental
gneiss_scene_instance_find_node stable
gneiss_scene_instance_get_node_count stable
gneiss_scene_instance_get_node_info stable
gneiss_scene_instance_load stable
gneiss_scene_instance_remove_camera experimental
gneiss_scene_instance_remove_mesh_renderer experimental
gneiss_scene_instance_reparent_node experimental
gneiss_scene_instance_restore_subtree experimental
gneiss_scene_instance_serialize experimental
gneiss_scene_instance_set_camera experimental
gneiss_scene_instance_set_mesh_renderer experimental
gneiss_scene_instance_set_node_name experimental
gneiss_scene_instance_unload stable
gneiss_scene_node_create stable
gneiss_scene_node_destroy stable
gneiss_scene_node_get_entity stable
gneiss_scene_node_get_local_transform stable
gneiss_scene_node_get_parent stable
gneiss_scene_node_get_world_transform stable
gneiss_scene_node_reparent stable
gneiss_scene_node_set_local_transform stable
gneiss_texture_create experimental
gneiss_texture_destroy experimental
gneiss_transform_type_id experimental
gneiss_type_registry_bind_property experimental
gneiss_type_registry_create experimental
gneiss_type_registry_destroy experimental
gneiss_type_registry_find_field experimental
gneiss_type_registry_find_type experimental
gneiss_type_registry_freeze experimental
gneiss_type_registry_get_property experimental
gneiss_type_registry_is_frozen experimental
gneiss_type_registry_register experimental
gneiss_type_registry_set_property experimental
gneiss_type_registry_type_at experimental
gneiss_type_registry_type_count experimental
gneiss_version_major stable
gneiss_version_minor stable
gneiss_version_patch stable
gneiss_world_create stable
gneiss_world_destroy stable
gneiss_world_entity_configure_camera stable
gneiss_world_entity_count stable
gneiss_world_entity_create stable
gneiss_world_entity_destroy stable
gneiss_world_entity_get_camera stable
gneiss_world_entity_get_local_transform stable
gneiss_world_entity_is_alive stable
gneiss_world_entity_remove_camera stable
gneiss_world_entity_remove_mesh_renderer stable
gneiss_world_entity_set_camera stable
gneiss_world_entity_set_local_transform stable
gneiss_world_entity_set_mesh_renderer stable
gneiss_world_get_active_camera stable
gneiss_world_register_reflection experimental
gneiss_world_set_active_camera stable
